plant_genotype	strain	nodule	nodule_raw	nodabove	nodabove_raw	nodred	nodred_raw	weight	weight_raw
A17	1215	0.102390114998335	30.5	-4.56653301007971	16.75	-0.342370713740991	17	-0.0665509663146101	0.1269
A17	1220	-13.4210790908401	29.5	0.0920667212644837	24	-20.8328074537256	0	-0.29436398391768	0.04395
A17	1221	-7.76849708119428	23.25	-0.26342396858445	17	8.70181541877791	21.75	-0.198253433736557	0.07095
A17	1222	-2.08218166823763	29	1.08512891035839	19.25	6.40126024870295	22	-0.0110736506728857	0.21575
A17	1225	1.86006052619248	39.75	-2.12144196228759	22.25	-18.5067686716616	0	-0.361493766981352	0.0192
A17	1227	-3.82755095063609	39.5	-5.28281185165234	22.5	6.44161539930965	29.75	-0.0495912995594045	0.25535
A17	1232	9.14045927577373	41.25	7.26335937893682	25.25	24.2198692342571	38	0.0752513996410453	0.4002
A17	1235	-7.57755095063609	35.75	-1.03281185165234	26.75	5.19161539930965	28.5	0.0273087004405955	0.33225
A17	1237	11.8874195821811	48.75	4.45032756913398	29	14.6746223427843	35	0.124503867062993	0.3737
A17	1248	-1.39760988500166	29	0.43346698992029	21.75	5.65762928625901	23	0.15117403368539	0.344625
A17	1264	33.2378772661281	77.25	14.6188500687858	39.25	-21.5647536382464	0	-0.19506398391768	0.14325
A17	1280	3.67548874295652	42.25	-2.96978004184949	18.25	1.73686229078237	18.5	-0.199818766981352	0.180875
A17	1289	5.25960284224566	36	4.46003553806063	28.75	7.23260730936918	24.5	-0.123020954614553	0.111225
A17	1302	-1.17496894099031	30.25	1.86169745849873	23	0.72623827181312	16.25	NA	NA
A17	1308	-12.7053676905716	24.5	-12.0231038827257	15.5	-3.0003996341055	17.25	-0.0129733982648006	0.300975
A17	1320	4.26523632211659	47.25	0.940619600207319	25.75	13.6166373761995	37	0.152310965768389	0.3925
A17	1325	24.7011041692245	61.5	7.85177469019114	31.5	39.7251775128593	57.5	0.325761194404774	0.649125
A17	1335	-7.29715220105484	30.25	-4.89801051042793	16.5	4.66825330522826	23.25	-0.0255688172952829	0.257
A17	1336	-10.2347636778834	32.75	-2.55938039979268	22.25	4.11663737619947	27.5	0.160560965768389	0.40075
A17	1357	-1.95999840817309	23	-1.90516312071496	16	5.9592452152878	18.5	-0.00468074937828186	0.23115
A17	1379	0.137419582181121	37	9.95032756913398	34.5	7.67462234278433	28	0.0265288670629927	0.275725
A17	1389	6.5457817224991	41	-1.44243296543602	19.375	-14.9024766264418	0.875	-0.24325620297709	0.0809
A17	1397	8.8810452348589	32.75	6.06805353176377	23.25	-11.8088086001913	0	-0.145998472350432	0.065875
A17	1415	-15.3321816682376	15.75	-8.91487108964161	9.25	-5.84873975129705	9.75	0.00542634932711426	0.23225
A17	1416	4.79000159182691	29.75	10.594836879285	28.5	-12.5407547847122	0	-0.134943510964306	0.0196
A17	1433	3.17244904936391	46.5	-3.53281185165234	24.25	12.6916153993096	36	0.312683700440595	0.617625
A17	1456	9.76523632211659	52.75	-5.55938039979268	19.25	27.6166373761995	51	0.259810965768389	0.5
A17	1462	-10.0471522010548	27.5	-6.64801051042793	14.75	6.16825330522826	24.75	0.020931182704717	0.3035
A17	1463	-2.32755095063602	41	-2.28281185165233	25.5	-20.8083846006904	2.5	-0.271466299559404	0.033475
A17	1464	10.6710905423036	47.8333333333333	8.31021074741737	29.1666666666667	17.5124204234269	35	-0.0839438005239726	0.231333333333333
A17	1467	0.516532385988511	38	-2.74656338937077	17.75	16.9688084753032	33	-0.187443766981352	0.19325
A17	1480	-17.2403971577543	13.5	-16.2899644619394	8	-10.7673926906308	6.5	-0.166395954614553	0.06785
A17	1491	14.8793495577512	55.6666666666667	0.869297487840866	24	-19.855323529259	0.833333333333333	-0.173385760462958	0.0976666666666667
A17	1496	-6.67107909084006	36.25	2.34206672126448	26.25	8.91719254627444	29.75	0.24114329311017	0.5555
A17	1497	11.2245733750629	35.5	-3.05682504115306	18	-14.2843857471561	0	-0.217220954614553	0.017025
A17	1501	1.04000159182691	26	1.59483687928504	19.5	-12.5407547847122	0	NA	NA
A17	1508	10.9178183317624	42	0.585128910358388	18.75	19.4012602487029	35	0.331176349327114	0.558
A17	1519	-8.04715220105484	29.5	-4.89801051042793	16.5	8.41825330522826	27	-0.0106438172952829	0.271925
A17	1520	-3.54715220105484	34	2.85198948957207	24.25	5.41825330522826	24	-0.125568817295283	0.157
A17	1530	-13.5745112570435	25	-11.9697800418495	9.25	-14.7631377092176	2	-0.218693766981352	0.162
A17	1533	5.85239011499834	36.25	9.68346698992029	31	7.65762928625901	25	0.33457403368539	0.528025
A17	1550	2.95284779894516	40.5	-2.89801051042793	18.5	12.9182533052283	31.5	0.283181182704717	0.56575
A17	1561	6.39045927577373	38.5	4.26335937893682	22.25	-13.7801307657429	0	-0.185748600358955	0.1392
A17	1562	11.3874195821811	48.25	-2.04967243086603	22.5	-11.8253776572157	8.5	-0.116821132937007	0.132375
A17	1565	-15.7053676905716	21.5	-11.5231038827257	16	-2.2503996341055	18	-0.241798398264801	0.07215
A17	1566	2.9802068549338	39.5	4.92375902099364	26.5	-20.4003556803258	0	-0.124443867609214	0.06
A17	1571	-6.76979314506575	29.75	0.673759020993691	22.25	3.59964431967423	24	0.163056132390787	0.3475
A17	1581	-5.77542662493713	18.5	-6.05682504115306	15	-7.28438574715614	7	0.0482919349799937	0.25075
A17	1583	8.79463230942844	46	3.47689611727431	31	-20.2503996341055	0	-0.2048338442091	0.0612
A17	1584	-23.0197931450662	13.5	-8.07624097900636	13.5	-20.4003556803258	0	-0.157443867609214	0.027
A17	1589	11.8874195821811	48.75	3.70032756913397	28.25	15.9246223427843	36.25	0.196628867062993	0.445825
A17	1590	6.4802068549338	43	9.42375902099364	31	-10.4003556803258	10	NA	NA
A17	1591	-3.24039715775435	27.5	-5.03996446193937	19.25	0.982607309369183	18.25	0.0196717683575966	0.277875
A17	1593	12.0502657892994	61.5	10.957480179421	39	13.6336304327248	40	NA	NA
A17	1594	5.33516397553678	34.8333333333333	-0.843368761093137	18.1666666666667	5.55178424045266	19.5	-0.0669486003589547	0.258
A17	1603	17.7946323094284	55	10.9768961172743	38.5	-17.7503996341055	2.5	-0.193778231642403	0.064425
A17	1606	11.1482314758159	44.5	6.73343034475725	30	13.5673589698402	30.6666666666667	0.594649923244614	0.893683333333333
A17	1607	-7.57653771943856	34.1666666666667	0.238198751615274	25.8333333333333	-0.293302303532778	20.8333333333333	0.0531016017351994	0.36705
A17	1608	-11.2229385530511	26.6666666666667	-2.67193368756845	18.6666666666667	2.19112296707964	20.1666666666667	0.140556199476027	0.455833333333333
A17	1611	-0.371365849058628	36.8333333333333	-0.45742066662074	21	10.3120503100436	29.5	0.0429728326000734	0.292833333333333
A17	1612	29.3559965796294	65.8333333333333	4.85805710169841	25.8333333333333	-11.5333189002759	7.16666666666667	-0.155777167399927	0.0940833333333333
A17	1613	5.6061452154008	34.8333333333333	4.90655028751808	21.3333333333333	-11.9644976615708	0.333333333333333	-0.204450211484822	0.101916666666667
A17	1614	-3.64313937778935	29.1666666666667	-2.60006489135365	15.5	-13.79853816754	0	0.0378707870743488	0.37065
A17	1616	-3.84801287093677	37.6666666666667	-2.27951361381162	21.3333333333333	-19.0099543189396	2.16666666666667	-0.232840611814858	0.0541833333333333
A17	1617	3.27078541967239	35.6666666666667	-0.80213758568382	20	11.505337744114	28.1666666666667	0.0820014334631426	0.337866666666667
A17	1618	-27.2229385530511	10.6666666666667	-12.1719336875684	9.16666666666667	-9.1422103662537	8.83333333333333	-0.191110467190639	0.124166666666667
A17	1623	-16.1206504422488	24.6666666666667	-2.63070251215913	20.5	-19.0219901959257	1.66666666666667	-0.247357278481525	0.0396666666666667
A17	1624	5.89045927577373	38	11.7633593789368	29.75	7.46986923425706	21.25	0.484551399641045	0.8095
A17	1626	-3.41295819783958	30.1666666666667	-0.183174073710906	19	-15.9868724039372	0	-0.183725504757141	0.0784166666666667
A17	1629	0.420375135493753	34	-2.51650740704424	16.6666666666667	15.5131275960628	31.5	0.470052977224292	0.748166666666667
A17	1630	-0.789910342348936	32.3333333333333	6.88238464599703	28.1666666666667	5.1840402877668	22.3333333333333	0.062984766796476	0.31885
A17	1631	-11.1414830463414	22.6666666666667	-0.665461708284015	20.5	3.56311294480287	19.5	-0.0569151996609033	0.264366666666667
A17	1632	-20.3246598928149	25.5	-6.43493989433583	19.3333333333333	-6.33195894792268	16.8333333333333	-0.00156398391768015	0.33675
A17	1633	-15.5796248645062	18	-9.01650740704424	10.1666666666667	-4.15353907060391	11.8333333333333	-0.106175504757141	0.155966666666667
A17	1638	-7.94973421070063	41.5	-4.042519820579	24	-2.36636956727521	24	-0.0709342008540084	0.225
A17	1641	-1.72410097286485	35.6666666666667	5.16125644617759	28	13.3957391055003	30.8333333333333	0.311204689257499	0.66965
A17	1642	8.80026578929937	58.25	2.207480179421	30.25	-10.1163695672752	16.25	-0.100934200854008	0.195
A17	1652	11.7194907176762	52.125	12.2353123794884	36.375	21.2052119373064	40.875	0.383136105243547	0.713975
A17	1655	-6.80814971300803	27	-7.66546170828401	13.5	4.8964462781362	20.8333333333333	0.458184800339097	0.779466666666667
A17	1656	0.777061446948944	38.6666666666667	-7.17193368756845	14.1666666666667	13.1911229670796	31.1666666666667	0.138056199476027	0.453333333333333
A17	1659	-6.07755095063609	37.25	-6.28281185165234	21.5	6.94161539930965	30.25	0.0121659774684459	0.29315
A17	1660	4.36006052619248	42.25	1.62855803771241	26	19.9932313283384	38.5	0.405637989048211	0.698666666666667
A17	1661	17.9001093024396	55.3333333333333	0.726958365472818	24.1666666666667	1.69536899211701	20.8333333333333	-0.126128677618456	0.1669
A17	1664	3.12487849769408	32.1666666666667	9.7221899586148	30.8333333333333	12.05603026549	27.1666666666667	0.363880034326212	0.62575
A17	1666	7.31440423084842	40.1666666666667	3.13230369460825	21.8333333333333	19.33442505241	34.8333333333333	0.00300867666889568	0.304
A17	1670	-27.7334676140115	9.75	-10.7465633893708	9.75	-8.53119152469677	7.5	-0.231378644075835	0.127066666666667
A17	1678	-13.5562718863844	24.3333333333333	-5.83860035423512	15.5	-17.8088770329204	0.166666666666667	-0.221738949172072	0.0775666666666667
A17	1687	15.4001093024396	52.8333333333333	6.22695836547282	29.6666666666667	-19.1379643412163	0	-0.166312010951789	0.126716666666667
A17	1688	-1.60414026244189	27.1666666666667	-2.02789099277398	16.5	7.20641503013323	20.6666666666667	0.248574614124495	0.50075
A17	1691	0.501830642203443	30	6.4899645722402	25.5	-13.9482157595473	0	-0.236618421912639	0.0475
A17	1692	2.42548874295651	41	4.44688662481717	25.6666666666667	8.23686229078237	25	-0.0916937669813519	0.289
A17	1694	2.50183064220344	32	6.9899645722402	26	10.7184509071193	24.6666666666667	0.257781578087361	0.5419
A17	1695	-1.55627188638439	36.3333333333333	3.82806631243155	25.1666666666667	10.524456300413	28.5	0.0772061994760274	0.392483333333333
A17	1696	27.7665323859885	65.25	4.50343661062923	25	-16.0311915246968	0	-0.219168766981352	0.161525
A17	1699	2.57697598408481	39.75	4.8518820898816	27.375	-18.0532845909562	0.125	-0.218857159599889	0.0582
A17	1700	8.56880243150133	42.8333333333333	0.602312905341384	19.6666666666667	15.3922002530988	30.1666666666667	0.390303010766913	0.733833333333333
A17	1702	1.44372811361561	39.3333333333333	0.161399645764883	21.5	-17.975543699587	0	-0.246293800523973	0.0689833333333333
A17	1703	1.44372811361561	39.3333333333333	5.99473297909822	27.3333333333333	-17.1422103662537	0.833333333333333	-0.239005615838739	0.0603
A17	1706	-8.62490000713025	23.5	-2.88555187040594	15.3333333333333	-11.6776108245761	3.33333333333333	-0.189108838090474	0.0730333333333333
A17	1708	14.6622941409978	49	6.87019232595109	27	-18.9364633112841	0	-0.0555293135535133	0.081
A17	1710	13.0636888240386	42.3333333333333	-0.527747793186695	16.5	-13.9982011082875	0	-0.118012060342209	0.106966666666667
A17	1719	13.4802068549338	50	16.1737590209936	37.75	2.34964431967415	22.75	-0.039443867609214	0.145
A17	1724	17.2121161200461	47.1666666666667	4.09107251919895	21	7.21420488208194	20	0.101049788515178	0.407416666666667
A17	1730	7.85627996514858	49.75	3.41383625268605	27.5	-3.90141643927967	18.75	-0.105189034231611	0.135
A17	1734	5.75960284224566	36.5	-0.0399644619393711	24.25	6.73260730936918	24	-0.0265532316424034	0.23165
A17	1742	4.85542980859112	30.5	-0.253501200276753	14.5	13.2028761777318	24	0.084296566263442	0.3535
